run	sex	age	tissue
GRZ_GONAD_1_10	male	10dpf	embryo
GRZ_GONAD_1	female	3m	ovary
GRZ_GONAD_10_0	male	0d	trunk
GRZ_GONAD_10b	male	3d	trunk
GRZ_GONAD_11b	female	3d	trunk
GRZ_GONAD_12_0	female	0d	trunk
GRZ_GONAD_12_10	male	10dpf	embryo
GRZ_GONAD_12b	female	3d	trunk
GRZ_GONAD_4	male	3m	testis
GRZ_GONAD_5_0	female	0d	trunk
GRZ_GONAD_6_0	male	0d	trunk
GRZ_GONAD_6_10	male	10dpf	embryo
GRZ_GONAD_7_10	female	10dpf	embryo
GRZ_GONAD_7b	male	3d	trunk
GRZ_GONAD_8_0	male	0d	trunk
GRZ_GONAD_8_10	female	10dpf	embryo
GRZ_GONAD_8b	male	3d	trunk
GRZ_GONAD_9_10	female	10dpf	embryo
GRZ_GONAD_9b	female	3d	trunk
